iter	Passed	Remaining
366	1472	2539
367	1475	2533
368	1477	2526
369	1482	2524
370	1486	2520
371	1488	2513
372	1492	2508
373	1500	2511
374	1502	2504
375	1504	2497
376	1507	2490
377	1509	2483
378	1515	2482
379	1533	2502
380	1535	2495
381	1538	2488
382	1540	2481
383	1548	2483
384	1550	2476
385	1551	2468
386	1553	2460
387	1554	2452
388	1556	2444
389	1562	2444
390	1565	2437
391	1569	2435
392	1579	2439
393	1583	2435
394	1585	2428
395	1588	2422
396	1596	2424
397	1598	2418
398	1600	2411
399	1602	2403
400	1608	2402
401	1611	2397
402	1613	2389
403	1615	2382
404	1616	2375
405	1618	2368
406	1626	2370
407	1628	2362
408	1630	2356
409	1632	2348
410	1634	2342
411	1639	2340
412	1642	2334
413	1644	2327
414	1647	2321
415	1648	2314
416	1650	2307
417	1656	2306
418	1658	2299
419	1659	2291
420	1662	2285
421	1663	2278
422	1665	2271
423	1669	2268
424	1672	2263
425	1674	2256
426	1676	2249
427	1677	2242
428	1679	2235
429	1680	2228
430	1687	2228
431	1689	2221
432	1691	2214
433	1693	2208
434	1694	2201
435	1696	2194
436	1701	2191
437	1704	2186
438	1706	2180
439	1707	2173
440	1709	2166
441	1710	2159
442	1712	2152
443	1719	2153
444	1721	2147
445	1726	2144
446	1733	2144
447	1736	2140
448	1738	2133
449	1740	2127
450	1742	2120
451	1750	2122
452	1752	2116
453	1755	2111
454	1757	2105
455	1759	2098
456	1762	2094
457	1764	2087
458	1765	2081
459	1767	2074
460	1768	2068
461	1770	2061
462	1777	2061
463	1778	2055
464	1780	2048
465	1782	2042
466	1784	2036
467	1785	2029
468	1790	2026
469	1793	2022
470	1795	2016
471	1796	2010
472	1798	2004
473	1800	1997
474	1801	1991
475	1807	1989
476	1808	1983
477	1810	1977
478	1812	1971
479	1813	1964
480	1815	1958
481	1820	1956
482	1823	1951
483	1825	1946
484	1832	1945
485	1839	1945
486	1840	1939
487	1842	1933
488	1844	1927
489	1846	1921
490	1848	1915
491	1852	1912
492	1855	1907
493	1856	1901
494	1859	1896
495	1861	1891
496	1863	1885
497	1869	1884
498	1871	1879
499	1873	1873
500	1874	1867
501	1876	1861
502	1878	1855
503	1883	1853
504	1885	1848
505	1887	1842
506	1888	1836
507	1890	1831
508	1892	1825
509	1899	1825
510	1901	1819
511	1903	1814
512	1905	1809
513	1907	1803
514	1913	1802
515	1915	1796
516	1918	1792
517	1920	1787
518	1922	1781
519	1924	1776
520	1930	1775
521	1933	1770
522	1936	1765
523	1937	1760
524	1940	1755
525	1944	1751
526	1946	1747
527	1950	1743
528	1952	1738
529	1960	1738
530	1967	1737
531	1969	1732
532	1971	1727
533	1973	1722
534	1975	1717
535	1977	1711
536	1979	1707
537	1987	1707
538	1990	1702
539	1993	1697
540	1994	1692
541	2000	1690
542	2002	1685
543	2005	1681
544	2009	1677
545	2010	1672
546	2017	1671
547	2019	1665
548	2023	1661
549	2025	1656
550	2026	1651
551	2032	1649
552	2034	1644
553	2038	1640
554	2040	1635
555	2042	1630
556	2044	1625
557	2046	1620
558	2048	1615
559	2050	1610
560	2052	1605
561	2057	1603
562	2059	1598
563	2061	1593
564	2063	1588
565	2065	1583
566	2067	1578
567	2073	1576
568	2075	1571
569	2076	1566
570	2078	1561
571	2079	1556
572	2081	1551
573	2082	1545
574	2088	1543
575	2089	1538
576	2090	1532
577	2092	1527
578	2094	1523
579	2096	1518
580	2097	1512
581	2104	1511
582	2106	1506
583	2108	1501
584	2109	1496
585	2110	1491
586	2112	1486
587	2113	1480
588	2118	1478
589	2120	1473
590	2121	1468
591	2123	1463
592	2125	1458
593	2126	1453
594	2128	1448
595	2134	1447
596	2137	1442
597	2140	1439
598	2142	1434
599	2143	1428
600	2149	1427
601	2151	1422
602	2153	1417
603	2155	1412
604	2157	1408
605	2158	1403
606	2165	1402
607	2167	1397
608	2169	1392
609	2171	1388
610	2173	1383
611	2179	1381
612	2181	1377
613	2184	1373
614	2187	1369
615	2189	1364
616	2197	1364
617	2200	1360
618	2202	1355
619	2205	1351
620	2211	1349
621	2213	1345
622	2216	1341
623	2219	1337
624	2232	1339
625	2233	1334
626	2235	1329
627	2241	1327
628	2244	1323
629	2246	1319
630	2249	1315
631	2251	1310
632	2258	1309
633	2260	1305
634	2263	1300
635	2264	1296
636	2266	1291
637	2273	1289
638	2275	1285
639	2278	1281
640	2281	1277
641	2288	1275
642	2290	1271
643	2292	1267
644	2294	1262
645	2296	1258
646	2298	1253
647	2303	1251
648	2306	1247
649	2307	1242
650	2309	1238
651	2311	1233
652	2319	1232
653	2322	1228
654	2324	1224
655	2326	1220
656	2336	1219
657	2341	1216
658	2350	1216
659	2352	1211
660	2353	1207
661	2355	1202
662	2356	1197
663	2358	1193
664	2359	1188
665	2362	1184
666	2364	1180
667	2365	1175
668	2367	1171
669	2369	1167
670	2372	1163
671	2373	1158
672	2377	1155
673	2378	1150
674	2380	1146
675	2381	1141
676	2387	1139
677	2390	1135
678	2392	1130
679	2393	1126
680	2395	1122
681	2396	1117
682	2403	1115
683	2404	1111
684	2406	1106
685	2407	1102
686	2409	1097
687	2410	1093
688	2412	1088
689	2416	1085
690	2420	1082
691	2422	1078
692	2424	1073
693	2425	1069
694	2427	1065
695	2432	1062
696	2435	1058
697	2436	1054
698	2439	1050
699	2441	1046
700	2442	1041
701	2448	1039
702	2451	1035
703	2452	1031
704	2454	1027
705	2456	1022
706	2457	1018
707	2464	1016
708	2465	1012
709	2467	1007
710	2469	1003
711	2471	999
712	2472	995
713	2476	992
714	2479	988
715	2481	984
716	2482	979
717	2484	975
718	2485	971
719	2487	967
720	2489	963
721	2495	960
722	2497	956
723	2498	952
724	2500	948
725	2501	944
726	2502	939
727	2504	935
728	2506	931
729	2508	927
730	2510	923
731	2512	919
732	2513	915
733	2514	911
734	2516	907
735	2517	902
736	2524	900
737	2525	896
738	2527	892
739	2528	888
740	2529	884
741	2530	879
742	2531	875
743	2533	871
744	2536	868
745	2538	864
746	2540	860
747	2541	856
748	2543	852
749	2544	848
750	2545	843
751	2546	839
752	2547	835
753	2553	833
754	2554	829
755	2556	825
756	2557	821
757	2559	817
758	2560	813
759	2562	809
760	2566	805
761	2568	802
762	2570	798
763	2572	794
764	2573	790
765	2575	786
766	2576	782
767	2578	778
768	2584	776
769	2586	772
770	2588	768
771	2589	764
772	2591	761
773	2593	757
774	2600	755
775	2602	751
776	2604	747
777	2606	743
778	2608	740
779	2618	738
780	2621	734
781	2623	731
782	2624	727
783	2631	725
784	2634	721
785	2635	717
786	2637	713
787	2639	710
788	2646	707
789	2648	704
790	2650	700
791	2652	696
792	2653	692
793	2655	688
794	2660	686
795	2663	682
796	2664	678
797	2667	675
798	2668	671
799	2670	667
800	2676	664
801	2677	661
802	2679	657
803	2681	653
804	2683	650
805	2685	646
806	2690	643
807	2693	640
808	2695	636
809	2697	632
810	2698	628
811	2700	625
812	2709	623
813	2711	619
814	2713	616
815	2716	612
816	2719	609
817	2721	605
818	2723	601
819	2724	598
820	2726	594
821	2727	590
822	2729	586
823	2735	584
824	2736	580
825	2737	576
826	2738	572
827	2740	569
828	2741	565
829	2742	561
830	2743	557
831	2747	554
832	2750	551
833	2751	547
834	2753	544
835	2755	540
836	2756	536
837	2757	533
838	2758	529
839	2766	526
840	2767	523
841	2768	519
842	2769	515
843	2770	512
844	2772	508
845	2773	504
846	2777	501
847	2780	498
848	2781	494
849	2782	491
850	2784	487
851	2785	483
852	2786	480
853	2788	476
854	2794	473
855	2795	470
856	2796	466
857	2798	463
858	2799	459
859	2800	455
860	2802	452
861	2803	448
862	2808	445
863	2811	442
864	2813	439
865	2815	435
866	2817	432
867	2824	429
868	2826	426
869	2827	422
870	2829	419
871	2830	415
872	2832	412
873	2833	408
874	2838	405
875	2840	402
876	2842	398
877	2843	395
878	2844	391
879	2847	388
880	2848	384
881	2857	382
882	2858	378
883	2860	375
884	2861	371
885	2863	368
886	2867	365
887	2869	361
888	2871	358
889	2872	355
890	2874	351
891	2876	348
892	2877	344
893	2879	341
894	2885	338
895	2887	335
896	2889	331
897	2891	328
898	2892	324
899	2894	321
900	2897	318
901	2900	315
902	2902	311
903	2903	308
904	2905	305
905	2907	301
906	2908	298
907	2911	294
908	2914	291
909	2915	288
910	2917	285
911	2918	281
912	2920	278
913	2921	274
914	2923	271
915	2929	268
916	2932	265
917	2934	262
918	2936	258
919	2938	255
920	2946	252
921	2948	249
922	2950	246
923	2952	242
924	2954	239
925	2961	236
926	2963	233
927	2965	230
928	2966	226
929	2968	223
930	2969	220
931	2976	217
932	2977	213
933	2979	210
934	2980	207
935	2982	203
936	2983	200
937	2985	197
938	2991	194
939	2993	191
940	2995	187
941	2997	184
942	2999	181
943	3000	178
944	3007	175
945	3008	171
946	3010	168
947	3011	165
948	3012	161
949	3014	158
950	3016	155
951	3020	152
952	3022	149
953	3024	145
954	3025	142
955	3027	139
956	3028	136
957	3030	132
958	3035	129
959	3037	126
960	3038	123
961	3040	120
962	3041	116
963	3043	113
964	3044	110
965	3047	107
966	3050	104
967	3052	100
968	3054	97
969	3057	94
970	3059	91
971	3066	88
972	3068	85
973	3069	81
974	3071	78
975	3073	75
976	3075	72
977	3083	69
978	3087	66
979	3090	63
980	3098	60
981	3099	56
982	3101	53
983	3102	50
984	3104	47
985	3106	44
986	3107	40
987	3109	37
988	3112	34
989	3113	31
990	3115	28
991	3116	25
992	3118	21
993	3119	18
994	3126	15
995	3127	12
996	3129	9
997	3130	6
998	3132	3
999	3133	0
